hold_id,user_id,library_book_id,hold_date,expiry_date,hold_status
1,85,57,2024-06-18,2024-06-25,Expired
2,13,72,2024-04-09,2024-04-16,Expired
3,4,27,2023-10-26,2023-11-02,Expired
4,83,35,2024-03-07,2024-03-14,Expired
5,16,36,2023-12-03,2023-12-10,Expired
6,66,85,2024-03-07,2024-03-14,Expired
7,75,98,2023-11-19,2023-11-26,Expired
8,22,99,2024-07-02,2024-07-09,Active
9,70,65,2024-06-11,2024-06-18,Expired
10,11,2,2023-08-12,2023-08-19,Expired
11,24,95,2024-05-20,2024-05-27,Expired
12,96,85,2024-06-20,2024-06-27,Expired
13,94,47,2023-09-05,2023-09-12,Expired
14,7,8,2024-01-15,2024-01-22,Expired
15,16,56,2024-06-27,2024-07-04,Expired
16,80,43,2024-05-24,2024-05-31,Expired
17,23,36,2023-07-16,2023-07-23,Expired
18,64,95,2023-08-19,2023-08-26,Expired
19,18,40,2023-08-23,2023-08-30,Expired
20,88,39,2023-10-17,2023-10-24,Expired
21,25,97,2024-01-20,2024-01-27,Expired
22,49,44,2024-04-01,2024-04-08,Expired
23,98,52,2024-05-23,2024-05-30,Expired
24,80,40,2024-05-30,2024-06-06,Expired
25,15,95,2024-01-29,2024-02-05,Expired
26,94,32,2024-02-15,2024-02-22,Expired
27,33,28,2023-09-03,2023-09-10,Expired
28,61,5,2023-09-18,2023-09-25,Expired
29,36,18,2024-04-01,2024-04-08,Expired
30,81,73,2023-10-25,2023-11-01,Expired
31,86,50,2024-06-17,2024-06-24,Expired
32,96,54,2024-04-22,2024-04-29,Expired
33,20,45,2023-11-10,2023-11-17,Expired
35,52,77,2024-07-03,2024-07-10,Active
36,66,73,2024-06-21,2024-06-28,Expired
37,29,91,2023-10-16,2023-10-23,Expired
38,75,25,2024-06-03,2024-06-10,Expired
39,92,80,2023-09-26,2023-10-03,Expired
40,48,20,2024-01-21,2024-01-28,Expired
41,65,64,2024-01-30,2024-02-06,Expired
42,2,30,2024-03-31,2024-04-07,Expired
43,50,22,2024-06-11,2024-06-18,Expired
44,32,91,2023-09-08,2023-09-15,Expired
45,82,32,2024-05-17,2024-05-24,Expired
47,93,95,2023-09-14,2023-09-21,Expired
48,86,17,2023-11-30,2023-12-07,Expired
49,10,98,2024-06-14,2024-06-21,Expired
50,18,87,2023-08-11,2023-08-18,Expired
51,47,7,2024-05-13,2024-05-20,Expired
52,15,15,2023-11-20,2023-11-27,Expired
53,29,36,2024-06-30,2024-07-07,Active
54,31,69,2023-10-09,2023-10-16,Expired
55,35,3,2024-04-10,2024-04-17,Expired
56,72,93,2024-01-23,2024-01-30,Expired
57,35,53,2023-11-16,2023-11-23,Expired
