loan_id,user_id,library_book_id,loan_date,due_date,return_date
1,54,75,2023-08-08,2023-08-22,
2,70,35,2024-06-04,2024-06-18,2024-06-13
3,89,76,2024-05-13,2024-05-27,
4,55,93,2024-02-20,2024-03-05,
5,53,93,2024-02-08,2024-02-22,
6,73,4,2024-04-07,2024-04-21,
7,90,10,2023-08-17,2023-08-31,
8,46,17,2024-05-03,2024-05-17,2024-05-10
9,43,20,2023-11-14,2023-11-28,2023-11-30
10,2,6,2023-10-07,2023-10-21,
11,42,27,2024-01-09,2024-01-23,2024-01-12
12,77,27,2023-10-22,2023-11-05,2023-11-06
13,22,12,2024-06-06,2024-06-20,2024-06-28
14,35,93,2023-10-30,2023-11-13,
15,54,36,2023-09-21,2023-10-05,2023-09-25
16,10,81,2024-01-26,2024-02-09,2024-02-19
17,6,47,2023-12-16,2023-12-30,2023-12-26
18,11,54,2023-09-24,2023-10-08,2023-09-28
19,34,100,2024-03-22,2024-04-05,2024-04-04
20,81,48,2024-05-06,2024-05-20,2024-05-09
21,39,79,2023-07-26,2023-08-09,
22,56,100,2023-12-03,2023-12-17,2023-12-06
24,79,95,2024-01-16,2024-01-30,
25,53,87,2023-10-08,2023-10-22,2023-10-27
26,90,5,2024-06-27,2024-07-11,
27,44,8,2023-12-30,2024-01-13,2024-01-04
29,40,75,2023-07-25,2023-08-08,2023-08-22
30,63,50,2023-12-09,2023-12-23,
31,76,44,2023-08-17,2023-08-31,2023-09-03
32,85,44,2024-02-18,2024-03-03,2024-03-17
33,42,54,2024-05-02,2024-05-16,
34,86,67,2024-01-18,2024-02-01,2024-01-20
35,5,7,2023-12-01,2023-12-15,
36,8,54,2023-12-25,2024-01-08,
37,60,67,2024-05-24,2024-06-07,
38,17,70,2023-08-08,2023-08-22,2023-08-09
39,38,49,2024-02-20,2024-03-05,
40,82,77,2023-12-08,2023-12-22,2023-12-31
41,65,45,2023-09-15,2023-09-29,
42,12,91,2024-06-21,2024-07-05,2024-07-04
43,1,2,2023-07-14,2023-07-28,
44,23,13,2024-03-09,2024-03-23,2024-03-13
45,37,19,2024-05-02,2024-05-16,2024-05-09
46,99,80,2023-10-04,2023-10-18,
47,65,60,2024-06-02,2024-06-16,2024-06-18
48,15,35,2023-12-17,2023-12-31,2024-01-12
49,71,79,2023-09-06,2023-09-20,
50,63,17,2024-05-13,2024-05-27,2024-06-03
52,12,18,2023-09-20,2023-10-04,2023-10-06
53,59,80,2024-03-19,2024-04-02,
54,2,6,2023-10-27,2023-11-10,
55,36,24,2024-01-11,2024-01-25,2024-02-01
56,20,18,2024-04-17,2024-05-01,2024-04-25
57,27,79,2024-03-20,2024-04-03,
58,68,10,2023-11-07,2023-11-21,2023-12-07
59,45,18,2023-10-18,2023-11-01,2023-10-26
60,3,86,2024-05-31,2024-06-14,
61,57,48,2024-04-20,2024-05-04,
62,24,32,2023-08-27,2023-09-10,2023-08-29
64,60,23,2023-11-29,2023-12-13,
65,16,3,2024-05-08,2024-05-22,
66,61,7,2023-08-23,2023-09-06,
